"","Timestamp","Class_Year","Major","Gender","Mood","Number_of_Classes","Class1_Participation","Class1_Type","Class1_Professor_Gender","Class2_Participation","Class2_Type","Class2_Professor_Gender","Class3_Participation","Class3_Type","Class3_Professor_Gender","Class4_Participation","Class4_Type","Class4_Professor_Gender","Class5_Participation","Class5_Type","Class5_Professor_Gender"
"184","2022/12/05 6:35:03 PM EST","Sophomore","STEM","Male",4,4,"Sometimes","STEM","Male","Participate a lot","STEM","Female","Sometimes","STEM","Male","Sometimes","Art or Humanities","Male","","",""
"185","2022/12/05 6:35:32 PM EST","Junior","Art or Humanities","Other",3,4,"Sometimes","Art or Humanities","Male","Sometimes","Art or Humanities","Female","Participate a lot","Art or Humanities","Male","Participate a lot","Art or Humanities","Female","","",""
"186","2022/12/05 6:36:27 PM EST","Senior","Art or Humanities","Female",4,4,"Participate a lot","Art or Humanities","Female","Participate a lot","Art or Humanities","Female","Participate a lot","Art or Humanities","Female","Participate a lot","Art or Humanities","Female","","",""
"187","2022/12/05 6:42:04 PM EST","Senior","STEM","Female",4,4,"Sometimes","STEM","Female","Participate a lot","STEM","Female","Participate a lot","Art or Humanities","Male","Participate a lot","Art or Humanities","Female","Sometimes","Art or Humanities","Female"
"188","2022/12/05 6:42:14 PM EST","Senior","STEM","Female",3,4,"Participate a lot","Art or Humanities","Female","Never participate","Art or Humanities","Male","Participate a lot","STEM","Female","Sometimes","Art or Humanities","Male","","",""
"189","2022/12/05 6:45:21 PM EST","Senior","Art or Humanities","Other",3,5,"Participate a lot","Art or Humanities","Male","Participate a lot","Art or Humanities","Female","Participate a lot","STEM","Other","Sometimes","Art or Humanities","Female","Participate a lot","Art or Humanities","Female"
"190","2022/12/05 6:45:50 PM EST","Sophomore","STEM","Female",4,4,"Sometimes","STEM","Male","Participate a lot","Art or Humanities","Male","Never participate","STEM","Male","Participate a lot","Art or Humanities","Female","","Art or Humanities",""
"191","2022/12/05 6:46:55 PM EST","Senior","Art or Humanities","Other",3,3,"Participate a lot","Art or Humanities","Female","Participate a lot","Art or Humanities","Female","Participate a lot","Art or Humanities","Female","","","","","",""
"192","2022/12/05 6:48:03 PM EST","Senior","STEM","Female",4,3,"Participate a lot","Art or Humanities","Male","Participate a lot","STEM","Male","Sometimes","Art or Humanities","Female","","","","","",""
"193","2022/12/05 6:48:49 PM EST","Sophomore","STEM","Female",3,4,"Sometimes","STEM","Female","Never participate","STEM","Male","Participate a lot","Art or Humanities","Female","Participate a lot","Art or Humanities","Female","","",""
