mean,group
5846.7,n=20
5230.2,n=20
5627.85,n=20
4674,n=20
5622.85,n=20
6260.95,n=20
5217,n=20
5680.45,n=20
5089.6,n=20
5296.05,n=20
4740.05,n=20
6359.75,n=20
4378.1,n=20
5490.75,n=20
9409.05,n=20
4017.65,n=20
7517.25,n=20
4034.45,n=20
5687.5,n=20
3445.85,n=20
6524.4,n=20
6449.1,n=20
5035.4,n=20
5181.1,n=20
5171.65,n=20
5948.7,n=20
4723.1,n=20
3377.15,n=20
6018.6,n=20
2740.35,n=20
7033.4,n=20
4561.6,n=20
4684.65,n=20
4300.95,n=20
6879.6,n=20
4491.05,n=20
6504.85,n=20
5828,n=20
6243.05,n=20
9299.7,n=20
2855.8,n=20
5896.2,n=20
4708.8,n=20
5163.35,n=20
4231.4,n=20
3767.85,n=20
3143,n=20
5787.2,n=20
2613.5,n=20
5352.05,n=20
4703,n=20
3797.5,n=20
7762.5,n=20
3902.1,n=20
6848.65,n=20
2606.45,n=20
5325.3,n=20
3893.75,n=20
3007.15,n=20
5554.95,n=20
4841.85,n=20
10383.5,n=20
7235.65,n=20
2715.8,n=20
6101.2,n=20
4013.8,n=20
6722.6,n=20
5292.65,n=20
3487.15,n=20
5008.75,n=20
5027,n=20
7137.95,n=20
8088.35,n=20
4283.5,n=20
4300.75,n=20
3534.4,n=20
4265.5,n=20
5216.1,n=20
5574.65,n=20
8339.1,n=20
4744.8,n=20
5851.15,n=20
4520.5,n=20
6493.35,n=20
3524.8,n=20
3915.45,n=20
4268.35,n=20
9048.05,n=20
3503.5,n=20
6856.85,n=20
4411.9,n=20
8450,n=20
7809.35,n=20
6210.85,n=20
2621.25,n=20
3985.15,n=20
3899.35,n=20
7562.05,n=20
3765.4,n=20
5769.8,n=20
6747.5,n=20
6268.3,n=20
7097.95,n=20
4037.65,n=20
8200.9,n=20
10352.5,n=20
6536.95,n=20
4780.05,n=20
4717.5,n=20
7466.5,n=20
5125.4,n=20
5069.15,n=20
4183.1,n=20
5688.3,n=20
5192.05,n=20
5008.3,n=20
6006.3,n=20
7225.1,n=20
5850.5,n=20
4658.8,n=20
7035,n=20
4066.9,n=20
3957.4,n=20
5789.15,n=20
5283.5,n=20
5218.3,n=20
6831.25,n=20
6202.85,n=20
8120.4,n=20
3219.7,n=20
6588.8,n=20
4771.9,n=20
3380.3,n=20
1955.85,n=20
8611.25,n=20
5429.5,n=20
5925.2,n=20
4687.65,n=20
5007.05,n=20
4609.05,n=20
4138.6,n=20
10863.45,n=20
8075.1,n=20
4049.7,n=20
5303.35,n=20
6479.25,n=20
4696.75,n=20
6549.9,n=20
2845.6,n=20
7913,n=20
3841,n=20
4762.3,n=20
5352.05,n=20
7454.2,n=20
6442.6,n=20
6555.2,n=20
4123.65,n=20
7478.6,n=20
4835.5,n=20
4979.45,n=20
4431.75,n=20
4535.95,n=20
4288.15,n=20
3864.3,n=20
2853.7,n=20
4541.1,n=20
5458.95,n=20
6082.7,n=20
4499.7,n=20
5109,n=20
7792.4,n=20
6057.5,n=20
5655.05,n=20
3764.6,n=20
7027.8,n=20
7186.35,n=20
4720.85,n=20
6849.75,n=20
4873.8,n=20
5331.6,n=20
6384.05,n=20
6370.8,n=20
5696.3,n=20
5009.25,n=20
4637.8,n=20
4699.45,n=20
4386.85,n=20
4917.4,n=20
3605.5,n=20
6946.85,n=20
6480.95,n=20
9773.15,n=20
3754.1,n=20
2947.35,n=20
6399.3,n=20
4443.85,n=20
5225.7,n=20
4969.7,n=20
9743.65,n=20
5391.95,n=20
6011.3,n=20
6548.05,n=20
3797,n=20
4764.55,n=20
5975.85,n=20
5335.5,n=20
5494.2,n=20
5065.2,n=20
5949.95,n=20
5917.55,n=20
4819.75,n=20
4287.45,n=20
5381.35,n=20
7033.05,n=20
8593.1,n=20
5074.85,n=20
3995.45,n=20
7740.05,n=20
5747,n=20
7211.4,n=20
4794.45,n=20
6964.75,n=20
9389.7,n=20
2036.75,n=20
3962.35,n=20
7050.55,n=20
3464.15,n=20
6847.5,n=20
5771.4,n=20
3749,n=20
7651.85,n=20
4619.9,n=20
6031.1,n=20
4697.1,n=20
4195.5,n=20
6055.2,n=20
6662.15,n=20
4809,n=20
5015.65,n=20
8142.1,n=20
4602.6,n=20
4800.55,n=20
3508.6,n=20
6726.85,n=20
5445.55,n=20
5962.85,n=20
5561.95,n=20
5918.4,n=20
5473.7,n=20
4113.75,n=20
3145.25,n=20
4722.35,n=20
3050.4,n=20
5496.8,n=20
3802.1,n=20
8635.95,n=20
4836.3,n=20
3738.85,n=20
4015.55,n=20
5089.65,n=20
4384.95,n=20
9299.85,n=20
6105,n=20
5776.1,n=20
4876.7,n=20
5775.2,n=20
3510.9,n=20
6954.75,n=20
5312.75,n=20
5423.45,n=20
4952.5,n=20
5129.6,n=20
4103.35,n=20
8326.15,n=20
3580.05,n=20
7526.4,n=20
3141.9,n=20
5423.1,n=20
8954.25,n=20
4366.9,n=20
5851.35,n=20
6214.9,n=20
8720.3,n=20
5935.95,n=20
5065.55,n=20
6939.1,n=20
4490.55,n=20
5062.55,n=20
8290.25,n=20
7235.75,n=20
5307.6,n=20
4828.25,n=20
5193.75,n=20
4471.75,n=20
7451.3,n=20
2398.5,n=20
6814.15,n=20
4944.4,n=20
7355.2,n=20
5489.75,n=20
4280.9,n=20
7910.6,n=20
3989.15,n=20
3740.7,n=20
3013.25,n=20
8997.35,n=20
6883.45,n=20
4443.2,n=20
6027.65,n=20
9475.15,n=20
7723.05,n=20
5140.15,n=20
5674.65,n=20
5939.85,n=20
4722.4,n=20
6654.1,n=20
9713.4,n=20
3185.9,n=20
6047.65,n=20
8749.3,n=20
3461.3,n=20
8388.6,n=20
6423.85,n=20
5008.6,n=20
4396.25,n=20
4432.75,n=20
6844.5,n=20
4343.9,n=20
10764.9,n=20
4995.35,n=20
5537.35,n=20
5536.9,n=20
5821,n=20
8032.65,n=20
11027.9,n=20
7653.9,n=20
5356.3,n=20
3791.05,n=20
3749.2,n=20
4093.55,n=20
9203.05,n=20
5411.8,n=20
7020.45,n=20
5831.55,n=20
7614.7,n=20
5216.5,n=20
3859.35,n=20
3766.6,n=20
8723.75,n=20
6074,n=20
4398.2,n=20
6572.7,n=20
5957.2,n=20
6043.85,n=20
4979.2,n=20
3954.7,n=20
5474.85,n=20
4715.05,n=20
2661.7,n=20
5466.55,n=20
3802.35,n=20
6728.6,n=20
4543.1,n=20
5720.6,n=20
7536.2,n=20
7295.85,n=20
6574.25,n=20
5675.1,n=20
8807.65,n=20
4885.4,n=20
6293.95,n=20
4997.85,n=20
5862.15,n=20
4088.25,n=20
5076.45,n=20
4697.3,n=20
3995.2,n=20
4647.7,n=20
4113.7,n=20
6110.25,n=20
4524.55,n=20
5445.75,n=20
6266.8,n=20
7408.15,n=20
3941.45,n=20
5221.65,n=20
5905.6,n=20
3647.1,n=20
