date,currency_code,name,local_price,dollar_ex,dollar_price
2012-01-01,MXN,Mexico,37.0,13.6844,2.7038087164946902
2012-01-01,MYR,Malaysia,7.35,3.13955,2.34109983914892
2012-01-01,NOK,Norway,41.0,6.0399,6.78819185748108
2012-01-01,NZD,New Zealand,5.1,1.26000126,4.04761500000405
2012-01-01,PKR,Pakistan,260.0,90.05,2.88728484175458
2012-01-01,PEN,Peru,10.0,2.6925,3.71402042711235
2012-01-01,PHP,Philippines,118.0,44.005,2.6815134643790497
2012-01-01,PLN,Poland,9.1,3.52045,2.58489681716826
2012-01-01,RUB,Russia,81.0,31.7693,2.54963124777694
2012-01-01,SAR,Saudi Arabia,10.0,3.7502,2.66652445202923
2012-01-01,SGD,Singapore,4.85,1.2928,3.7515470297029694
2012-01-01,SEK,Sweden,41.0,6.9338,5.91306354379994
2012-01-01,THB,Thailand,78.0,31.75,2.4566929133858304
2012-01-01,TRY,Turkey,6.6,1.86295,3.54276819023592
2012-01-01,TWD,Taiwan,75.0,29.9795,2.50170950149269
2012-01-01,UAH,Ukraine,17.0,8.0405,2.11429637460357
2012-01-01,UYU,Uruguay,90.0,19.45,4.62724935732648
2012-01-01,USD,United States,4.19722,1.0,4.19722
2012-01-01,ZAR,South Africa,19.95,8.1304,2.45375381285054
2012-07-01,AED,UAE,12.0,3.67295,3.26712860234961
2012-07-01,ARS,Argentina,19.0,4.56625,4.16096359156857
2012-07-01,AUD,Australia,4.56,0.974326497,4.68015599908292
2012-07-01,BRL,Brazil,10.08,2.04215,4.935974340768309
2012-07-01,CAD,Canada,5.12,1.01945,5.02231595468145
2012-07-01,CHF,Switzerland,6.5,0.9906,6.56167979002625
2012-07-01,CLP,Chile,2050.0,493.05,4.15779332724876
2012-07-01,CNY,China,15.65,6.3885,2.449714330437509
2012-07-01,COP,Colombia,8600.0,1804.475,4.76592914836725
2012-07-01,CZK,Czech Republic,70.33,21.048,3.34141011022425
2012-07-01,DKK,Denmark,28.5,6.1356,4.6450224916878495
2012-07-01,EGP,Egypt,16.0,6.0665,2.63743509437072
2012-07-01,EUR,Euro area,3.5834822410000005,0.8248443109999999,4.3444346929611095
2012-07-01,GBP,Britain,2.69,0.646266197,4.1623715002999
2012-07-01,HKD,Hong Kong,16.5,7.75815,2.126795692272
