county,population_2008,young,middle,older,age_index,male,female,income,no_hs_diploma,hs_diploma,associates_degree,bachelors_degree,above_bachelors_degree,education_index,white,labor_force,employed,unemployed,unemployment_rate,vd_2006,vd_2008,vd_2010,vd_2012,vr_2006,vr_2008,vr_2010,vr_2012,registered_d_2016,registered_r_2016,registered_i_2016,casey_index,X,polls_2016,who_won_2008,votes_d_received,votes_r_received,who_won_2012,votes_d_received_2012,votes_r_received_2012,fips
Meigs,0.002,0.168,0.358,0.223,1.553,0.496,0.504,43207,0.603,0.317,0.051,0.029,NA,1.506,0.974,"9,143","8,225",918,10,51,N/A,41,39.58,49,N/A,59,49.57,NA,NA,NA,0.377328005,NA,NA,R,0.393,0.578,R,0.394,0.577,39105
Mercer,0.004,0.162,0.338,0.212,1.474,0.501,0.499,52234,0.512,0.369,0.061,0.058,NA,1.665,0.974,"24,713","23,497","1,216",4.9,35,N/A,24,21.71,65,N/A,76,72.16,NA,NA,NA,0.31021458,NA,NA,R,0.275,0.709,R,0.219,0.764,39107
Miami,0.009,0.164,0.356,0.216,1.524,0.492,0.508,52292,0.445,0.394,0.092,0.069,NA,1.785,0.944,"54,648","51,145","3,503",6.4,43,N/A,26,30.58,57,N/A,74,62.94,NA,NA,NA,0.338528475,NA,-5,R,0.347,0.632,R,0.315,0.665,39109
Monroe,0.001,0.148,0.34,0.277,1.659,0.499,0.501,41677,0.55,0.359,0.052,0.04,NA,1.584,0.981,"5,710","5,222",488,8.5,68,N/A,56,46.99,32,N/A,44,44.7,NA,NA,NA,0.562006961,NA,NA,D,0.531,0.439,R,0.448,0.523,39111
Montgomery,0.047,0.194,0.335,0.214,1.506,0.48,0.52,43895,0.445,0.345,0.097,0.112,NA,1.874,0.739,"267,232","247,269","19,963",7.5,53,N/A,44,50.46,47,N/A,56,43.42,NA,NA,NA,0.474085842,NA,NA,D,0.523,0.461,D,0.514,0.468,39113
Morgan,0.001,0.159,0.343,0.245,1.58,0.496,0.504,37152,0.522,0.376,0.067,0.036,NA,1.619,0.932,"5,811","5,216",595,10.2,54,N/A,39,42.16,46,N/A,61,49.23,NA,NA,-29,0.369765309,NA,NA,R,0.448,0.52,R,0.459,0.518,39115
Morrow,0.003,0.162,0.364,0.194,1.472,0.498,0.502,51534,0.454,0.438,0.068,0.04,NA,1.694,0.977,"17,970","16,701","1,269",7.1,48,N/A,31,33.73,52,N/A,69,57.61,NA,NA,NA,0.332115935,NA,-18,R,0.37,0.604,R,0.366,0.608,39117
Muskingum,0.007,0.178,0.338,0.215,1.499,0.483,0.517,40398,0.5,0.37,0.072,0.059,NA,1.692,0.93,"38,401","35,078","3,323",8.7,55,N/A,37,41.46,45,N/A,63,49.86,NA,NA,NA,0.393541975,NA,-23,R,0.452,0.524,R,0.457,0.518,39119
Noble,0.001,0.197,0.294,0.305,1.7,0.579,0.421,39544,0.542,0.378,0.044,0.037,NA,1.578,0.961,"5,835","5,336",499,8.6,51,N/A,41,35.03,49,N/A,59,54.53,NA,NA,NA,0.394965865,NA,NA,R,0.4,0.558,R,0.362,0.605,39121
Ottawa,0.004,0.137,0.363,0.274,1.685,0.495,0.505,53850,0.483,0.368,0.085,0.063,NA,1.726,0.965,"21,529","19,631","1,898",8.8,60,N/A,42,49.66,40,N/A,58,43.42,NA,NA,NA,0.463428713,NA,NA,D,0.522,0.46,D,0.511,0.468,39123
Paulding,0.002,0.162,0.36,0.206,1.5,0.495,0.505,44099,0.481,0.398,0.08,0.041,NA,1.681,0.957,"10,790","10,021",769,7.1,47,N/A,38,35.4,53,N/A,62,55.61,NA,NA,NA,0.359912314,NA,NA,R,0.426,0.543,R,0.387,0.585,39125
Perry,0.003,0.173,0.36,0.185,1.448,0.496,0.504,42222,0.562,0.362,0.049,0.028,NA,1.545,0.979,"16,382","14,986","1,396",8.5,59,N/A,41,44.24,41,N/A,59,47.56,NA,NA,NA,0.41213096,NA,NA,R,0.47,0.5,R,0.468,0.508,39127
Pickaway,0.005,0.189,0.364,0.182,1.463,0.525,0.475,53750,0.474,0.391,0.077,0.059,NA,1.723,0.945,"24,810","23,044","1,766",7.1,49,N/A,33,38.34,51,N/A,67,54.07,NA,NA,NA,0.380313483,NA,-14,R,0.382,0.598,R,0.401,0.581,39129
Pike,0.002,0.173,0.347,0.208,1.491,0.499,0.501,39735,0.617,0.261,0.054,0.067,NA,1.569,0.966,"10,857","9,754","1,103",10.2,60,N/A,47,48.85,40,N/A,53,43.46,NA,NA,NA,0.465982782,NA,NA,R,0.482,0.493,R,0.49,0.49,39131
Portage,0.014,0.219,0.34,0.185,1.454,0.488,0.512,51969,0.432,0.36,0.085,0.123,NA,1.899,0.923,"92,880","87,062","5,818",6.3,63,N/A,46,48.38,37,N/A,54,42.37,NA,NA,NA,0.492623585,NA,-16,D,0.534,0.444,D,0.517,0.461,39133
Preble,0.004,0.162,0.35,0.224,1.534,0.497,0.503,48899,0.505,0.39,0.055,0.051,NA,1.654,0.976,"21,422","19,938","1,484",6.9,46,N/A,28,29.63,54,N/A,72,62.83,NA,NA,NA,0.331764516,NA,NA,R,0.333,0.644,R,0.307,0.669,39135
Putnam,0.003,0.167,0.347,0.197,1.452,0.5,0.5,60693,0.478,0.396,0.076,0.05,NA,1.698,0.957,"18,447","17,381","1,066",5.8,40,N/A,25,24.63,60,N/A,75,69.3,NA,NA,NA,0.29991517,NA,3,R,0.283,0.7,R,0.235,0.746,39137
Richland,0.011,0.177,0.342,0.228,1.545,0.506,0.494,42894,0.488,0.38,0.069,0.064,NA,1.711,0.875,"62,349","57,713","4,636",7.4,53,N/A,36,40.79,47,N/A,64,52.71,NA,NA,NA,0.381646798,NA,NA,R,0.42,0.556,R,0.392,0.586,39139
Ross,0.007,0.186,0.374,0.193,1.513,0.528,0.472,44089,0.552,0.327,0.064,0.058,NA,1.63,0.907,"34,685","31,931","2,754",7.9,55,N/A,41,46.42,45,N/A,59,46.13,NA,NA,NA,0.435564035,NA,-22,R,0.453,0.525,R,0.483,0.498,39141
Sandusky,0.005,0.169,0.35,0.215,1.514,0.492,0.508,58004,0.452,0.41,0.084,0.054,NA,1.74,0.912,"33,318","30,917","2,401",7.2,56,N/A,39,46.24,44,N/A,61,45.13,NA,NA,NA,0.41969497,NA,NA,D,0.514,0.467,D,0.5,0.473,39143
Scioto,0.007,0.195,0.332,0.216,1.507,0.494,0.506,34783,0.6,0.295,0.06,0.046,NA,1.554,0.944,"32,526","29,811","2,715",8.3,60,N/A,44,47.28,40,N/A,56,40.53,NA,NA,NA,0.454477917,NA,-25,R,0.456,0.519,R,0.482,0.496,39145
Seneca,0.005,0.186,0.334,0.21,1.484,0.5,0.5,42375,0.453,0.389,0.094,0.064,NA,1.769,0.937,"30,486","28,333","2,153",7.1,53,N/A,37,41.1,47,N/A,63,49.99,NA,NA,NA,0.41099656,NA,NA,R,0.475,0.502,R,0.448,0.523,39147
Shelby,0.004,0.166,0.355,0.184,1.428,0.497,0.503,51159,0.486,0.391,0.065,0.057,NA,1.691,0.947,"27,607","25,897","1,710",6.2,41,N/A,25,25.05,59,N/A,75,66.67,NA,NA,NA,0.3274806,NA,NA,R,0.308,0.671,R,0.265,0.717,39149
Stark,0.033,0.171,0.35,0.223,1.54,0.484,0.516,45689,0.476,0.379,0.074,0.071,NA,1.74,0.887,"192,019","179,027","12,992",6.8,57,N/A,43,47.77,43,N/A,57,42.97,NA,NA,NA,0.455457066,NA,-15,D,0.516,0.461,D,0.492,0.487,39151
Summit,0.047,0.184,0.353,0.208,1.514,0.483,0.517,49227,0.446,0.351,0.098,0.105,NA,1.862,0.806,"298,291","279,954","18,337",6.1,63,N/A,50,55.73,37,N/A,50,36.28,NA,NA,NA,0.425509241,NA,NA,D,0.577,0.407,D,0.57,0.414,39153
Trumbull,0.018,0.162,0.348,0.246,1.596,0.486,0.514,42488,0.465,0.396,0.075,0.065,NA,1.742,0.89,"105,582","97,654","7,928",7.5,73,N/A,57,60.73,27,N/A,43,31.21,NA,NA,NA,0.568961603,NA,-31,D,0.598,0.374,D,0.605,0.375,39155
Tuscarawas,0.008,0.17,0.341,0.23,1.542,0.492,0.508,43869,0.5,0.392,0.063,0.046,NA,1.657,0.966,"47,837","44,847","2,990",6.3,55,N/A,43,42.66,45,N/A,57,47.43,NA,NA,NA,0.457368421,NA,-23,D,0.499,0.475,R,0.441,0.533,39157
Union,0.004,0.181,0.382,0.146,1.383,0.477,0.523,65866,0.451,0.4,0.081,0.067,NA,1.762,0.929,"25,897","24,544","1,353",5.2,41,N/A,27,31.61,59,N/A,73,60.37,NA,NA,NA,0.341203404,NA,NA,R,0.351,0.63,R,0.344,0.636,39159
Van Wert,0.003,0.165,0.34,0.224,1.517,0.486,0.514,44602,0.425,0.433,0.088,0.054,NA,1.771,0.966,"15,407","14,099","1,308",8.5,40,N/A,28,25.73,60,N/A,72,66.64,NA,NA,NA,0.310396592,NA,NA,R,0.352,0.624,R,0.29,0.69,39161
Vinton,0.001,0.166,0.349,0.217,1.515,0.503,0.497,34432,0.615,0.289,0.051,0.045,NA,1.526,0.979,"5,720","5,194",526,9.2,55,N/A,46,43.01,45,N/A,54,47.73,NA,NA,NA,0.426748206,NA,-33,R,0.436,0.535,R,0.444,0.52,39163
Warren,0.018,0.166,0.378,0.163,1.411,0.503,0.497,72055,0.546,0.324,0.07,0.059,NA,1.64,0.905,"109,239","103,225","6,014",5.5,36,N/A,23,30.23,64,N/A,77,63.31,NA,NA,NA,0.346621533,NA,NA,R,0.314,0.674,R,0.296,0.689,39165
Washington,0.005,0.167,0.356,0.239,1.596,0.487,0.513,43829,0.448,0.395,0.079,0.078,NA,1.787,0.965,"33,063","31,249","1,814",5.5,51,N/A,40,38.22,49,N/A,60,53.02,NA,NA,NA,0.401032837,NA,-17,R,0.413,0.569,R,0.394,0.584,39167
Wayne,0.01,0.179,0.33,0.206,1.457,0.494,0.506,49241,0.464,0.376,0.072,0.087,NA,1.78,0.957,"59,427","56,039","3,388",5.7,48,N/A,32,36.99,52,N/A,68,54.57,NA,NA,NA,0.372369486,NA,-12,R,0.415,0.561,R,0.387,0.591,39169
Williams,0.003,0.17,0.349,0.22,1.528,0.498,0.502,53721,0.434,0.412,0.09,0.063,NA,1.78,0.959,"19,903","18,370","1,533",7.7,50,N/A,32,37.09,50,N/A,68,51.91,NA,NA,NA,0.352344198,NA,-21,R,0.444,0.537,R,0.41,0.567,39171
Wood,0.011,0.23,0.324,0.177,1.409,0.488,0.512,53441,0.402,0.393,0.092,0.113,NA,1.916,0.928,"68,912","64,258","4,654",6.8,57,N/A,41,49.16,43,N/A,59,43.37,NA,NA,NA,0.460561423,NA,-3,D,0.526,0.455,D,0.512,0.464,39173
Wyandot,0.002,0.164,0.341,0.232,1.542,0.493,0.507,46129,0.452,0.417,0.089,0.042,NA,1.721,0.969,"11,453","10,549",904,7.9,48,N/A,30,34.83,52,N/A,70,56.76,NA,NA,NA,0.359855496,NA,-20,R,0.405,0.57,R,0.39,0.583,39175
