county;population;pct_male;pct_female;median_age;over65_pct;onerace_white;onerace_black;onerace_native;onerace_asian;onerace_pacificislands;onerace_other;hispanic_pct;non_hisp_white;non_hisp_black;`voting_pop;;;
Knox County, Tennessee;456132;48.7;51.3;37.3;15.3;85.5;8.8;0.4;2.3;0.1;1.1;4.0;82.5;8.8;348053;;;
Kootenai County, Idaho;154311;49.5;50.5;39.6;18.0;93.2;0.7;1.9;0.9;0.1;1.2;4.4;90.8;0.5;118011;;;
Kosciusko County, Indiana;79092;49.3;50.7;38.7;16.0;95.5;1.2;0.6;0.5;0.0;0.8;7.9;88.3;1.2;58137;;;
La Crosse County, Wisconsin;118122;48.2;51.8;35.5;15.4;90.6;1.1;0.2;4.4;0.0;0.9;1.8;90.1;1.1;93158;;;
Lackawanna County, Pennsylvania;211321;48.2;51.8;41.7;19.6;91.7;2.8;0.1;2.5;0.0;0.6;7.1;86.0;2.5;164421;;;
Lafayette Parish, Louisiana;241398;48.7;51.3;34.1;11.8;70.0;25.4;0.2;1.7;0.0;0.7;4.6;65.8;25.3;178712;;;
Lafourche Parish, Louisiana;98305;48.8;51.2;38.0;14.3;78.9;13.7;2.5;0.5;0.1;2.7;4.4;76.8;13.6;72869;;;
Lake County, California;64116;48.8;51.2;46.5;23.6;76.9;1.4;4.4;0.5;0.0;13.4;20.0;71.1;1.4;48037;;;
Lake County, Florida;335396;48.8;51.2;46.7;26.5;84.5;10.7;0.4;2.0;0.0;0.4;14.7;71.1;10.1;259730;;;
Lake County, Illinois;703047;50.0;50.0;38.5;13.1;75.5;6.7;0.2;7.5;0.0;7.5;21.5;62.3;6.4;466002;;;
Lake County, Indiana;485846;48.3;51.7;38.6;15.4;61.6;24.1;0.3;1.3;0.0;9.9;18.7;54.2;23.9;356809;;;
Lake County, Ohio;228614;48.5;51.5;43.7;18.7;91.1;3.9;0.2;1.4;0.0;1.1;4.2;88.9;3.8;177339;;;
Lancaster County, Nebraska;309637;50.1;49.9;33.1;12.9;86.5;4.0;0.6;4.0;0.0;1.5;6.8;81.7;3.7;225398;;;
Lancaster County, Pennsylvania;538500;49.0;51.0;38.2;17.0;89.5;4.4;0.1;2.0;0.0;1.7;10.2;82.4;3.5;400865;;;
Lancaster County, South Carolina;89594;49.8;50.2;42.6;19.9;72.4;23.1;0.0;0.5;0.0;3.4;5.2;69.9;23.1;68235;;;
Lane County, Oregon;369519;49.2;50.8;39.4;18.4;87.9;1.0;1.1;2.6;0.3;1.9;8.5;82.3;0.9;288848;;;
Lapeer County, Michigan;88340;51.3;48.7;44.6;17.0;95.5;1.1;0.2;0.6;0.1;0.6;4.7;91.8;1.1;69391;;;
LaPorte County, Indiana;110015;52.2;47.8;40.8;16.5;82.9;10.8;0.6;0.8;0.1;2.0;6.5;79.6;10.6;84735;;;
Laramie County, Wyoming;98136;51.1;48.9;36.4;15.1;90.6;2.7;0.5;1.2;0.4;1.2;14.6;78.6;2.6;74175;;;
Larimer County, Colorado;339993;50.1;49.9;35.9;14.8;90.4;1.0;0.8;2.2;0.2;2.0;11.2;82.9;0.9;264530;;;
LaSalle County, Illinois;110642;50.4;49.6;42.6;18.2;94.6;2.8;0.1;0.6;0.1;0.4;9.5;85.8;2.7;85411;;;
Lauderdale County, Alabama;92318;48.9;51.1;41.6;18.6;87.3;10.3;0.1;0.8;0.1;0.1;2.6;84.8;10.3;72306;;;
Lauderdale County, Mississippi;77755;49.6;50.4;37.8;16.3;N;N;N;N;N;N;2.2;N;N;58461;;;
Laurens County, South Carolina;66777;48.7;51.3;39.2;17.5;70.8;22.2;0.2;1.5;0.7;1.5;4.6;68.2;22.2;51080;;;
Lawrence County, Pennsylvania;87294;49.0;51.0;45.0;20.7;93.3;4.7;0.1;0.4;0.0;0.2;1.4;92.3;4.5;69611;;;
Lea County, New Mexico;69749;50.5;49.5;31.5;10.4;89.2;3.1;0.6;0.0;0.1;4.5;57.5;36.5;3.1;40939;;;
Leavenworth County, Kansas;80204;54.6;45.4;36.7;13.3;80.8;9.3;0.6;2.1;0.4;3.9;6.9;79.0;9.2;60003;;;
Lebanon County, Pennsylvania;138863;48.7;51.3;41.2;18.6;87.1;2.6;0.1;1.5;0.0;6.7;12.7;82.8;2.1;105069;;;
Lee County, Alabama;158991;49.8;50.2;31.0;11.1;69.9;23.9;0.0;4.2;0.0;0.5;3.8;67.3;23.4;119593;;;
Lee County, Florida;722336;49.0;51.0;48.2;27.4;85.1;8.4;0.2;1.5;0.0;2.9;20.5;68.3;8.1;535768;;;
Lee County, Mississippi;85381;48.1;51.9;38.3;14.6;67.7;29.0;0.1;0.9;0.0;0.4;2.5;65.9;29.0;62958;;;
Lehigh County, Pennsylvania;363147;48.9;51.1;39.0;16.4;78.9;7.3;0.1;3.2;0.0;7.4;23.3;65.6;5.8;268092;;;
Lenawee County, Michigan;98504;51.0;49.0;42.1;17.5;92.7;3.0;0.7;0.3;0.0;0.7;7.8;86.5;3.0;76500;;;
Leon County, Florida;287822;47.4;52.6;30.8;12.5;61.7;30.6;0.2;3.5;0.1;1.0;6.2;56.7;30.4;223944;;;
Lewis and Clark County, Montana;67282;48.6;51.4;41.6;17.9;93.5;0.4;1.6;0.9;0.0;0.6;3.2;91.5;0.4;52140;;;
Lewis County, Washington;77066;50.6;49.4;43.7;21.4;90.2;0.7;1.7;1.2;0.0;2.4;10.1;83.8;0.3;58963;;;
Lexington County, South Carolina;286196;48.6;51.4;38.9;15.1;79.5;14.5;0.2;1.7;0.0;1.3;5.8;75.3;14.3;211273;;;
Liberty County, Georgia;62570;51.6;48.4;27.2;8.4;47.0;41.1;0.5;1.5;0.0;3.1;12.3;39.8;40.5;43688;;;
Liberty County, Texas;81704;50.8;49.2;36.7;13.0;85.0;10.3;0.5;0.6;0.0;3.1;22.7;65.2;10.3;55684;;;
Licking County, Ohio;172198;48.8;51.2;40.0;16.0;91.9;3.8;0.1;1.2;0.0;0.5;1.8;90.9;3.7;129947;;;
Limestone County, Alabama;92753;51.4;48.6;38.8;14.5;82.2;15.2;0.6;0.4;0.0;0.2;5.8;N;N;69278;;;
Lincoln County, North Carolina;81168;48.9;51.1;44.3;16.4;87.4;4.4;1.4;0.8;0.1;4.0;7.2;84.8;4.4;61972;;;
Linn County, Iowa;221661;49.4;50.6;37.6;14.9;89.4;5.5;0.1;2.4;0.1;0.2;3.2;86.7;5.4;165104;;;
Linn County, Oregon;122849;49.8;50.2;39.4;18.3;90.1;0.5;1.0;1.1;0.1;3.7;8.8;85.2;0.5;90832;;;
Litchfield County, Connecticut;182571;49.5;50.5;46.8;20.0;93.6;1.8;0.1;2.5;0.0;0.9;5.9;89.2;1.6;141872;;;
Livingston County, Michigan;188624;50.2;49.8;43.5;15.9;96.7;0.7;0.2;0.9;0.0;0.1;2.4;94.6;0.7;145344;;;
Livingston County, New York;64257;50.0;50.0;40.7;16.8;92.6;3.1;0.5;1.1;0.1;1.2;3.5;90.8;2.6;52011;;;
Livingston Parish, Louisiana;140138;50.1;49.9;36.3;12.7;N;N;N;N;N;N;3.6;88.0;6.6;101504;;;
Lonoke County, Arkansas;72228;49.7;50.3;36.4;13.8;88.5;5.4;0.4;1.4;0.0;1.8;4.4;86.1;5.4;52825;;;
Lorain County, Ohio;306365;49.2;50.8;41.3;17.2;85.1;8.7;0.2;0.9;0.1;1.4;9.8;78.6;7.8;233257;;;
Los Angeles County, California;10137915;49.3;50.7;36.3;12.9;50.2;8.2;0.6;14.5;0.3;22.3;48.5;26.3;7.8;6272903;;;
Loudoun County, Virginia;385945;49.6;50.4;35.9;8.7;66.9;7.2;0.3;17.6;0.2;3.1;13.7;56.5;7.1;240252;;;
Lowndes County, Georgia;114628;48.9;51.1;30.5;11.8;58.5;38.7;0.2;0.4;0.1;0.8;5.6;54.1;38.4;85355;;;
Lubbock County, Texas;303137;49.2;50.8;30.6;12.0;81.8;7.1;1.3;1.9;0.3;5.1;35.0;54.1;6.8;219649;;;
Lucas County, Ohio;432488;48.5;51.5;38.0;15.4;72.4;19.2;0.2;1.6;0.1;2.5;6.9;69.0;18.9;326354;;;
Luzerne County, Pennsylvania;316383;49.1;50.9;43.1;19.3;90.2;4.4;0.1;1.2;0.0;2.2;10.7;83.1;3.7;246565;;;
Lycoming County, Pennsylvania;115248;48.8;51.2;40.6;18.5;92.4;4.5;0.0;0.6;0.0;0.3;1.9;90.8;4.5;90837;;;
Lynchburg city, Virginia;80212;44.8;55.2;27.7;14.3;66.1;29.5;0.4;1.0;0.0;0.3;3.5;63.2;29.2;63330;;;
Macomb County, Michigan;867730;48.7;51.3;41.0;16.2;81.4;11.6;0.2;3.8;0.0;0.6;2.5;79.5;11.5;651362;;;
Macon County, Illinois;106550;47.9;52.1;41.6;18.8;78.1;12.5;0.2;1.0;0.0;0.5;2.2;76.4;12.5;82258;;;
Madera County, California;154697;48.1;51.9;33.6;13.2;70.9;2.9;2.1;1.8;0.2;18.2;57.4;34.7;2.9;89159;;;
Madison County, Alabama;356967;48.9;51.1;38.8;14.4;68.3;24.5;0.7;2.3;0.1;1.4;4.8;65.0;24.4;268097;;;
Madison County, Illinois;265759;48.5;51.5;40.4;16.3;87.9;8.8;0.1;1.2;0.0;0.4;3.2;85.3;8.8;204644;;;
Madison County, Indiana;129296;49.2;50.8;40.4;17.7;87.7;7.0;0.3;0.4;0.0;0.9;4.0;85.0;7.0;99357;;;
Madison County, Kentucky;89547;47.7;52.3;34.0;12.9;91.5;5.0;0.2;1.2;0.0;0.5;2.3;89.4;5.0;69172;;;
Madison County, Mississippi;105114;48.1;51.9;37.6;13.0;56.4;37.6;0.4;2.6;0.0;2.0;2.8;55.2;37.5;76675;;;
Madison County, New York;71329;49.5;50.5;41.3;16.8;94.6;1.8;0.3;1.0;0.2;0.3;2.1;93.1;1.7;56702;;;
Madison County, Tennessee;97663;47.7;52.3;38.0;16.0;59.5;37.9;0.1;1.0;0.0;0.4;3.7;56.2;37.6;74771;;;
Mahoning County, Ohio;230008;48.8;51.2;43.5;20.0;79.9;15.2;0.2;0.9;0.0;0.7;5.6;76.4;14.8;180821;;;
Manatee County, Florida;375888;48.2;51.8;47.7;26.4;85.2;8.9;0.3;1.9;0.1;1.9;16.1;71.5;8.7;280783;;;
Manitowoc County, Wisconsin;79536;49.6;50.4;44.6;19.4;94.0;0.6;0.5;2.5;0.0;0.3;3.8;90.9;0.6;61647;;;
Marathon County, Wisconsin;135603;50.0;50.0;40.8;16.9;91.0;0.4;0.3;5.9;0.0;0.6;2.8;88.9;0.3;102408;;;
Maricopa County, Arizona;4242997;49.4;50.6;36.2;14.6;76.1;5.4;1.9;4.0;0.2;8.8;30.7;55.9;5.2;2851683;;;
Marin County, California;260651;48.5;51.5;46.1;20.7;76.9;2.3;0.1;5.3;0.2;9.8;16.0;71.1;2.3;182337;;;
Marion County, Florida;349020;48.3;51.7;48.6;28.5;82.2;12.6;0.1;1.2;0.0;0.6;12.5;70.9;12.0;272405;;;
Marion County, Indiana;941229;48.2;51.8;34.3;11.8;61.4;27.6;0.3;3.0;0.0;4.2;10.2;56.1;27.4;652300;;;
Marion County, Ohio;65096;52.8;47.2;41.8;16.9;N;N;N;N;N;N;2.6;N;N;50946;;;
Marion County, Oregon;336316;49.3;50.7;36.4;15.2;78.9;1.4;0.7;2.1;0.7;6.9;26.2;66.0;1.3;226692;;;
Marquette County, Michigan;66435;50.9;49.1;38.4;17.8;92.8;1.2;0.3;1.0;0.0;0.4;1.5;92.3;1.2;53601;;;
Marshall County, Alabama;95157;48.7;51.3;38.0;16.8;94.2;2.9;0.4;0.8;0.0;0.6;13.5;81.3;2.9;68054;;;
Martin County, Florida;158701;49.3;50.7;51.5;30.2;87.7;5.8;0.6;0.8;0.1;3.7;13.2;78.9;5.1;125042;;;
Matanuska-Susitna Borough, Alaska;104365;52.0;48.0;34.2;10.2;82.7;1.0;5.2;1.0;0.1;0.3;4.8;79.3;0.7;74493;;;
Maui County, Hawaii;165379;49.7;50.3;41.1;16.6;36.7;0.3;0.1;30.6;11.4;1.0;11.1;30.2;0.3;112442;;;
Maury County, Tennessee;89981;49.0;51.0;39.9;15.8;83.8;12.1;0.1;0.1;0.0;1.2;5.7;N;N;67789;;;
McCracken County, Kentucky;65162;48.2;51.8;40.7;19.0;N;N;N;N;N;N;2.4;N;N;50706;;;
McHenry County, Illinois;307004;49.7;50.3;39.7;12.9;92.6;1.3;0.1;2.8;0.0;1.3;12.9;81.5;1.2;222589;;;
McKinley County, New Mexico;74923;48.0;52.0;31.6;11.1;13.8;0.2;78.2;1.0;0.3;5.3;13.6;8.4;0.2;51896;;;
McLean County, Illinois;172418;49.0;51.0;32.9;12.1;82.8;8.3;0.2;5.0;0.0;1.0;4.8;79.2;8.3;127347;;;
McLennan County, Texas;247934;48.7;51.3;33.3;13.9;77.1;14.7;0.4;1.6;0.1;3.8;25.8;56.5;14.5;173445;;;
Mecklenburg County, North Carolina;1054835;48.0;52.0;35.0;10.6;54.5;31.7;0.3;5.6;0.1;5.3;13.0;47.4;31.1;711160;;;
Medina County, Ohio;177221;49.4;50.6;42.3;16.6;95.0;1.4;0.3;0.9;0.0;0.6;2.0;93.8;1.3;135661;;;
Mendocino County, California;87628;49.0;51.0;42.8;19.9;81.3;0.5;3.6;1.3;0.3;6.7;25.0;65.2;0.5;60964;;;
Merced County, California;268672;50.4;49.6;30.9;10.8;55.6;3.2;0.9;7.9;0.0;29.0;58.9;28.2;3.1;147204;;;
Mercer County, New Jersey;371023;48.9;51.1;38.5;14.3;64.4;21.1;0.1;11.0;0.2;1.1;17.1;50.3;19.7;251904;;;
Mercer County, Pennsylvania;112913;49.3;50.7;45.1;20.7;91.4;5.7;0.1;0.8;0.0;0.1;1.4;90.3;5.6;90173;;;
Merrimack County, New Hampshire;148582;49.7;50.3;42.4;17.5;94.7;0.6;0.2;1.7;0.0;0.1;2.0;93.0;0.6;117403;;;
Mesa County, Colorado;150083;49.4;50.6;39.8;18.0;93.4;0.3;0.9;0.8;0.3;1.4;14.4;81.6;0.3;112987;;;
Miami County, Ohio;104679;49.3;50.7;41.7;18.0;93.6;2.3;0.1;1.2;0.0;0.7;1.6;92.6;2.3;79743;;;
Miami-Dade County, Florida;2712945;48.5;51.5;39.9;16.0;74.5;17.6;0.2;1.6;0.0;4.6;67.7;13.6;16.1;1588731;;;
Middlesex County, Connecticut;163329;49.1;50.9;45.6;18.7;89.3;5.4;0.0;3.0;0.0;0.5;6.1;84.2;5.2;127213;;;
Middlesex County, Massachusetts;1589774;48.9;51.1;38.5;14.6;76.8;5.4;0.2;11.8;0.0;3.3;7.9;72.5;5.0;1110564;;;
Middlesex County, New Jersey;837073;49.3;50.7;38.2;14.2;58.6;10.0;0.3;24.3;0.0;4.3;20.7;43.6;9.4;542159;;;
Midland County, Michigan;83462;49.2;50.8;42.6;17.4;92.9;1.5;0.3;2.1;0.0;0.5;2.7;91.5;1.3;64406;;;
Midland County, Texas;162565;50.0;50.0;32.0;10.3;85.6;7.1;0.2;2.1;0.1;2.8;44.4;46.1;6.5;104798;;;
Milwaukee County, Wisconsin;951448;48.4;51.6;34.7;12.7;59.1;26.2;0.5;4.2;0.0;6.1;14.8;51.9;25.9;676841;;;
Minnehaha County, South Dakota;187318;50.3;49.7;34.9;12.8;86.1;5.0;2.1;2.4;0.0;1.5;4.8;83.3;5.0;132596;;;
Missoula County, Montana;116130;51.0;49.0;36.4;14.4;91.9;0.6;2.6;1.6;0.0;0.2;3.1;89.7;0.5;92263;;;
Mobile County, Alabama;414836;47.7;52.3;37.4;15.3;58.6;35.7;0.8;2.0;0.0;1.1;2.8;57.2;35.5;311297;;;
Mohave County, Arizona;205249;50.3;49.7;50.6;28.7;91.3;0.8;2.4;1.0;0.1;1.7;16.2;77.7;0.7;163384;;;
Monmouth County, New Jersey;625846;48.7;51.3;43.0;16.6;82.2;7.3;0.2;5.7;0.0;3.0;10.8;75.1;6.8;454493;;;
Monongalia County, West Virginia;104622;51.1;48.9;31.4;11.9;89.6;4.0;0.0;3.7;0.0;0.6;2.1;87.9;4.0;82926;;;
Monroe County, Florida;79077;52.7;47.3;46.3;21.8;89.0;8.3;0.1;1.5;0.0;0.7;23.0;67.6;7.4;60626;;;
Monroe County, Indiana;145496;50.1;49.9;28.5;11.9;86.2;2.8;0.2;6.5;0.0;0.6;3.4;83.5;2.8;115306;;;
Monroe County, Michigan;149208;49.4;50.6;42.2;16.9;94.4;2.8;0.5;0.6;0.0;0.3;3.5;91.6;2.8;114755;;;
Monroe County, New York;747727;48.3;51.7;38.7;16.4;76.3;15.2;0.4;3.5;0.0;1.6;8.5;70.7;14.5;566759;;;
Monroe County, Pennsylvania;166098;49.6;50.4;41.9;16.1;75.1;13.9;0.2;2.1;0.1;5.4;15.4;67.0;12.6;127134;;;
Monterey County, California;435232;51.1;48.9;34.0;12.7;55.8;2.5;0.4;5.7;0.2;31.0;58.3;30.0;2.5;225555;;;
Montgomery County, Alabama;226349;47.4;52.6;36.4;14.1;36.1;57.4;0.1;2.5;0.0;1.7;3.3;34.7;57.4;168086;;;
Montgomery County, Maryland;1043863;48.2;51.8;39.0;14.5;55.1;18.3;0.2;14.8;0.0;7.4;19.1;44.5;17.8;657467;;;
Montgomery County, Ohio;531239;48.3;51.7;39.3;17.3;73.2;20.8;0.1;2.1;0.1;0.6;2.8;71.2;20.6;403177;;;
Montgomery County, Pennsylvania;821725;48.6;51.4;41.4;17.2;79.7;8.9;0.1;7.4;0.0;1.2;5.0;76.3;8.8;612189;;;
Montgomery County, Tennessee;195734;49.2;50.8;30.8;9.0;72.0;19.3;0.7;2.8;0.7;1.1;10.0;64.1;18.4;139261;;;
Montgomery County, Texas;556203;49.7;50.3;37.2;12.7;86.4;5.5;0.7;2.8;0.1;2.3;23.4;67.2;4.9;364376;;;
Montgomery County, Virginia;98602;51.7;48.3;28.2;11.3;85.5;4.5;0.4;5.5;0.0;1.0;3.1;83.7;4.4;77922;;;
Moore County, North Carolina;95776;47.3;52.7;45.4;24.3;82.5;13.6;0.1;1.7;0.1;0.5;6.4;77.3;13.6;73764;;;
Morgan County, Alabama;119012;49.8;50.2;40.7;16.9;78.6;12.1;0.6;0.9;0.0;5.4;8.1;75.7;12.1;88520;;;
Morgan County, Indiana;69698;49.2;50.8;42.3;15.9;N;N;N;N;N;N;1.5;N;N;54197;;;
Morris County, New Jersey;498423;49.0;51.0;42.4;16.2;80.7;3.2;0.0;10.6;0.0;3.6;13.3;71.2;3.0;355074;;;
Multnomah County, Oregon;799766;49.6;50.4;36.8;12.6;78.8;5.7;0.7;7.0;0.6;2.0;11.4;70.5;5.5;593071;;;
Muscogee County, Georgia;197485;49.1;50.9;33.7;12.7;43.9;45.6;0.6;2.1;0.0;2.3;7.6;41.0;45.0;144744;;;
Muskegon County, Michigan;173408;49.7;50.3;39.1;16.0;80.3;14.1;0.7;0.7;0.0;0.6;5.6;76.3;14.1;131457;;;
Muskingum County, Ohio;86068;48.6;51.4;40.1;17.4;N;N;N;N;N;N;1.1;N;N;65577;;;
Muskogee County, Oklahoma;69477;48.7;51.3;37.9;16.4;58.7;10.5;17.9;0.7;0.1;2.5;6.0;56.5;10.4;51873;;;
Nacogdoches County, Texas;65806;47.5;52.5;30.7;13.4;N;N;N;N;N;N;19.3;N;N;46051;;;
Napa County, California;142166;49.6;50.4;41.0;18.1;78.0;1.9;0.8;7.9;0.2;7.3;33.9;52.8;1.9;96846;;;
Nash County, North Carolina;94005;49.6;50.4;41.8;17.6;53.4;40.2;0.5;0.9;0.0;3.4;6.8;50.4;40.0;70840;;;
Nassau County, Florida;80622;48.3;51.7;45.2;21.5;N;N;N;N;N;N;4.2;N;N;63765;;;
Nassau County, New York;1361500;48.6;51.4;41.5;17.0;68.1;11.6;0.3;9.4;0.0;7.5;16.8;60.5;11.3;962509;;;
Natrona County, Wyoming;81039;49.1;50.9;36.0;13.5;94.9;1.7;0.4;0.5;0.0;0.2;8.5;86.8;1.5;60589;;;
Navajo County, Arizona;110026;50.1;49.9;36.3;16.7;45.9;0.7;44.5;0.8;0.0;4.1;11.2;40.9;0.6;77372;;;
Nevada County, California;99107;50.8;49.2;50.2;25.9;92.5;0.2;0.5;1.8;0.0;1.4;9.5;85.3;0.2;80770;;;
New Castle County, Delaware;556987;48.4;51.6;38.5;14.6;64.9;24.9;0.3;5.4;0.2;1.9;9.8;58.2;24.0;406586;;;
New Hanover County, North Carolina;223483;47.7;52.3;39.1;16.7;81.0;13.9;0.3;1.0;0.0;1.0;5.4;77.0;13.5;177451;;;
New Haven County, Connecticut;856875;48.3;51.7;39.9;16.3;74.1;12.9;0.2;4.2;0.0;5.3;17.6;63.5;12.0;635554;;;
New London County, Connecticut;269801;49.8;50.2;41.5;16.8;81.2;5.8;0.6;4.5;0.0;3.5;10.4;75.7;5.4;206650;;;
New York County, New York;1643734;47.4;52.6;37.1;14.9;56.7;15.0;0.3;12.4;0.1;10.9;26.0;46.8;12.5;1167015;;;
Newport County, Rhode Island;82784;48.6;51.4;45.6;20.8;89.8;3.7;0.2;2.3;0.4;1.3;5.8;85.6;3.7;65397;;;
Newport News city, Virginia;181825;48.8;51.2;33.4;12.2;47.7;40.6;0.2;2.5;0.1;1.9;8.8;43.8;38.7;136172;;;
Newton County, Georgia;106999;46.7;53.3;36.0;12.4;N;N;N;N;N;N;5.3;N;N;74053;;;
Niagara County, New York;211758;49.1;50.9;43.4;18.1;87.4;6.4;1.1;1.0;0.1;0.9;2.8;85.7;6.3;167069;;;
Norfolk city, Virginia;245115;52.1;47.9;30.6;10.3;47.2;41.1;0.3;3.8;0.2;3.3;7.8;43.6;40.7;187363;;;
Norfolk County, Massachusetts;697181;47.9;52.1;41.0;16.3;78.4;6.6;0.1;10.7;0.0;1.8;4.4;75.6;6.3;502794;;;
Northampton County, Pennsylvania;302294;49.4;50.6;41.6;18.0;87.0;5.3;0.2;2.8;0.0;1.6;12.9;77.4;4.9;231516;;;
Northumberland County, Pennsylvania;92541;51.1;48.9;44.7;20.1;94.8;2.7;0.1;0.5;0.0;0.7;3.4;92.7;2.5;73819;;;
Nueces County, Texas;361350;49.4;50.6;35.0;13.8;90.3;4.1;0.4;1.8;0.1;1.6;63.4;29.8;3.9;253939;;;
Oakland County, Michigan;1243970;48.8;51.2;41.0;15.9;75.1;13.5;0.2;7.0;0.0;0.9;3.9;72.5;13.3;913445;;;
Ocean County, New Jersey;592497;48.2;51.8;42.8;22.3;90.6;2.9;0.1;2.0;0.1;2.9;9.1;84.7;2.8;433432;;;
Oconee County, South Carolina;76355;48.2;51.8;44.7;22.5;88.4;7.4;0.1;0.5;0.0;1.2;5.1;84.7;7.3;59042;;;
Okaloosa County, Florida;201170;51.0;49.0;37.2;15.7;77.3;10.1;0.3;2.9;0.2;4.4;8.7;74.4;9.7;151677;;;
Oklahoma County, Oklahoma;782970;48.9;51.1;34.5;12.9;68.9;15.2;3.2;3.1;0.1;3.1;17.0;56.4;14.9;531380;;;
Olmsted County, Minnesota;153102;49.0;51.0;37.4;14.9;84.3;5.9;0.6;5.9;0.0;1.5;4.8;80.8;5.8;108921;;;
Oneida County, New York;231190;49.6;50.4;41.1;18.0;85.6;5.8;0.2;4.2;0.0;1.1;5.5;82.2;5.2;176267;;;
Onondaga County, New York;466194;48.2;51.8;38.7;16.0;79.6;11.3;0.4;3.7;0.0;1.3;4.8;77.0;10.8;350975;;;
Onslow County, North Carolina;187136;54.0;46.0;26.6;9.3;74.5;13.0;0.3;1.8;0.2;1.7;12.2;66.5;12.6;137443;;;
Ontario County, New York;109828;49.1;50.9;44.3;19.1;92.2;2.9;0.5;1.2;0.1;1.5;4.5;90.2;2.5;85813;;;
Orange County, California;3172532;49.3;50.7;37.7;14.0;62.6;1.7;0.4;20.1;0.3;11.1;34.3;41.0;1.6;2047774;;;
Orange County, Florida;1314367;49.2;50.8;34.9;11.2;64.8;21.0;0.1;5.4;0.0;5.2;30.5;41.3;19.8;885780;;;
Orange County, New York;379210;49.9;50.1;37.2;13.2;73.5;10.2;0.5;2.8;0.0;8.7;20.1;64.7;9.3;266633;;;
Orange County, North Carolina;141796;47.5;52.5;34.1;12.2;75.2;10.5;0.5;7.9;0.0;1.4;8.4;69.0;10.4;105030;;;
Orange County, Texas;84964;49.3;50.7;37.4;15.4;88.3;8.9;0.5;1.4;0.0;0.0;7.2;81.3;8.8;61858;;;
Orangeburg County, South Carolina;87903;47.0;53.0;39.4;18.0;33.6;63.5;0.7;0.6;0.0;0.0;0.4;33.4;63.3;66747;;;
Orleans Parish, Louisiana;391495;47.8;52.2;35.7;13.0;34.1;59.7;0.1;3.0;0.0;1.2;5.6;30.8;58.8;299075;;;
Osceola County, Florida;336015;48.7;51.3;35.6;13.1;73.9;12.0;0.2;2.9;0.0;6.9;52.3;33.6;8.8;229120;;;
Oswego County, New York;118987;50.2;49.8;40.1;15.2;95.7;1.5;0.2;0.6;0.1;0.1;2.5;94.2;1.0;92774;;;
Otero County, New Mexico;65410;50.5;49.5;35.8;16.8;77.7;4.0;6.8;1.5;0.0;5.5;37.8;49.3;3.4;46584;;;
Ottawa County, Michigan;282250;49.0;51.0;35.0;13.9;90.4;1.2;0.2;2.2;0.1;2.5;9.5;84.2;1.1;206857;;;
Ouachita Parish, Louisiana;156983;48.1;51.9;35.6;14.1;60.0;37.6;0.1;1.0;0.0;0.3;2.2;58.3;37.5;115881;;;
Outagamie County, Wisconsin;184526;49.8;50.2;38.2;13.7;89.8;1.3;1.5;3.6;0.0;1.7;4.2;88.0;1.3;137179;;;
Ozaukee County, Wisconsin;88314;48.6;51.4;44.0;18.8;94.0;1.5;0.3;1.9;0.0;0.6;2.8;91.7;1.5;67787;;;
Palm Beach County, Florida;1443810;48.4;51.6;44.7;23.3;74.8;18.5;0.1;2.7;0.0;1.9;21.5;55.8;18.2;1016071;;;
Parker County, Texas;129441;49.9;50.1;40.0;15.5;93.9;1.5;0.8;0.6;0.1;1.8;11.8;84.0;1.5;92459;;;
Pasco County, Florida;512368;48.7;51.3;44.8;22.8;88.2;5.5;0.3;2.5;0.0;1.2;14.3;75.9;5.1;390647;;;
Passaic County, New Jersey;507945;48.8;51.2;36.7;13.7;65.7;11.3;0.3;5.2;0.0;14.7;41.1;41.2;10.4;318021;;;
Paulding County, Georgia;155825;48.6;51.4;36.4;10.8;74.3;22.1;0.2;0.3;0.3;1.2;6.1;72.2;19.4;110502;;;
Payne County, Oklahoma;81131;51.1;48.9;27.3;12.2;80.7;4.4;5.2;4.8;0.0;0.4;4.7;77.1;4.4;61134;;;
Pennington County, South Dakota;109372;50.1;49.9;38.3;16.8;83.0;1.3;9.4;1.3;0.0;0.2;4.9;80.5;1.2;82711;;;
Penobscot County, Maine;151806;49.4;50.6;42.0;17.5;94.6;0.5;1.3;0.9;0.0;0.2;1.3;94.0;0.5;122714;;;
Peoria County, Illinois;185006;48.6;51.4;37.3;15.7;73.1;18.3;0.3;4.1;0.0;1.1;4.7;70.0;18.2;135152;;;
Philadelphia County, Pennsylvania;1567872;47.4;52.6;34.1;12.9;40.4;42.2;0.4;7.1;0.0;6.7;14.4;34.6;41.1;1116915;;;
Pickens County, South Carolina;122863;49.4;50.6;36.3;16.0;88.4;7.0;0.0;2.5;0.1;0.7;3.6;85.7;6.9;95763;;;
Pierce County, Washington;861312;49.6;50.4;36.1;13.3;73.1;6.5;1.3;6.1;1.4;3.3;10.6;67.5;6.3;624595;;;
Pima County, Arizona;1016206;49.2;50.8;38.3;19.1;76.2;3.4;3.2;2.8;0.2;9.3;36.8;52.4;3.1;728924;;;
Pinal County, Arizona;418540;51.9;48.1;39.2;19.9;80.7;4.5;5.2;2.0;0.3;4.3;29.4;57.7;4.1;300002;;;
