county;population;pct_male;pct_female;median_age;over65_pct;onerace_white;onerace_black;onerace_native;onerace_asian;onerace_pacificislands;onerace_other;hispanic_pct;non_hisp_white;non_hisp_black;`voting_pop;;;
Catawba County, North Carolina;156459;49.7;50.3;41.3;17.4;78.0;8.9;0.4;4.1;0.0;7.0;9.5;76.0;8.6;115480;;;
Catoosa County, Georgia;66398;49.6;50.4;40.0;17.1;N;N;N;N;N;N;2.9;N;N;50666;;;
Cattaraugus County, New York;77677;49.5;50.5;41.6;17.9;91.8;1.5;3.4;0.7;0.0;0.5;2.0;90.7;1.5;59457;;;
Cayuga County, New York;77861;51.4;48.6;41.4;17.5;92.1;4.2;0.2;0.5;0.0;0.7;2.9;90.2;4.1;61764;;;
Cecil County, Maryland;102603;49.9;50.1;40.0;14.6;87.3;7.2;0.0;1.5;0.0;1.7;4.3;85.4;6.8;77526;;;
Centre County, Pennsylvania;161464;52.8;47.2;31.7;13.1;88.0;3.7;0.1;5.4;0.0;0.3;2.9;85.6;3.6;128412;;;
Champaign County, Illinois;208419;49.6;50.4;29.9;11.8;72.5;13.3;0.2;10.5;0.0;0.6;5.8;68.0;13.2;152810;;;
Charles County, Maryland;157705;48.6;51.4;38.1;12.0;45.6;45.2;0.2;2.8;0.0;0.7;5.5;41.6;44.7;114979;;;
Charleston County, South Carolina;396484;48.1;51.9;37.1;15.3;68.4;27.5;0.2;1.5;0.0;0.6;5.0;64.3;27.2;306319;;;
Charlotte County, Florida;178465;48.9;51.1;58.5;38.9;89.8;6.5;0.1;0.9;0.3;0.7;6.9;84.3;5.9;149724;;;
Chatham County, Georgia;289082;48.2;51.8;35.3;14.5;52.5;39.5;0.2;2.2;0.2;1.5;6.3;48.9;39.0;217978;;;
Chatham County, North Carolina;72243;47.3;52.7;47.1;24.8;82.3;11.1;0.0;1.2;0.0;1.6;11.9;72.3;11.1;53779;;;
Chautauqua County, New York;129504;49.4;50.6;42.2;18.9;92.7;2.9;0.3;0.6;0.0;1.6;7.5;87.5;2.7;100674;;;
Chaves County, New Mexico;65282;50.9;49.1;35.1;15.0;90.8;2.6;2.3;0.1;0.0;3.1;56.1;N;N;42283;;;
Chelan County, Washington;76338;50.0;50.0;40.3;18.4;90.3;1.8;0.1;1.3;0.0;2.8;27.7;68.1;1.5;53265;;;
Chemung County, New York;86322;49.8;50.2;41.5;18.2;87.9;5.6;0.2;1.8;0.0;0.9;3.0;86.2;5.3;66534;;;
Cherokee County, Georgia;241689;49.3;50.7;38.7;13.0;85.8;6.9;0.5;2.1;0.0;2.8;10.0;79.8;6.3;167594;;;
Chesapeake city, Virginia;237940;48.8;51.2;36.9;12.5;62.0;29.9;0.0;3.0;0.0;1.2;5.7;58.1;29.8;176615;;;
Cheshire County, New Hampshire;75774;49.3;50.7;42.9;18.4;95.5;0.7;0.2;1.5;0.0;0.3;1.8;94.4;0.7;61317;;;
Chester County, Pennsylvania;516312;49.2;50.8;40.3;15.4;85.3;5.8;0.1;5.0;0.0;1.3;7.3;79.9;5.5;372178;;;
Chesterfield County, Virginia;339009;48.3;51.7;39.2;14.1;67.7;22.5;0.2;3.9;0.1;2.5;8.4;62.2;22.0;246038;;;
Chittenden County, Vermont;161531;49.4;50.6;37.2;13.9;90.4;2.8;0.3;3.7;0.0;0.6;2.3;88.8;2.6;127176;;;
Christian County, Kentucky;72351;53.2;46.8;28.5;10.9;71.3;23.2;0.3;0.6;0.6;1.7;7.6;65.9;23.2;52195;;;
Christian County, Missouri;84401;48.6;51.4;37.3;15.2;N;N;N;N;N;N;2.9;N;N;62390;;;
Citrus County, Florida;143621;48.1;51.9;56.4;35.4;92.9;3.8;0.2;1.7;0.0;0.7;5.4;88.5;3.7;120771;;;
Clackamas County, Oregon;408062;49.2;50.8;41.3;17.1;87.7;1.1;0.9;4.0;0.2;2.1;8.4;82.5;0.9;307413;;;
Clallam County, Washington;74570;49.0;51.0;50.8;28.0;88.0;1.2;4.5;1.0;0.1;1.0;6.1;83.0;1.0;59347;;;
Clark County, Indiana;116031;48.4;51.6;38.7;14.9;88.0;5.7;0.1;0.4;0.0;1.0;5.3;83.7;5.7;87449;;;
Clark County, Nevada;2155664;49.9;50.1;37.0;14.1;61.7;11.5;0.6;9.8;0.8;10.4;30.9;43.4;11.0;1411365;;;
Clark County, Ohio;134786;47.9;52.1;41.9;18.7;86.9;7.4;0.2;0.3;0.0;0.6;3.3;84.3;7.3;103300;;;
Clark County, Washington;467018;49.4;50.6;38.0;14.7;84.5;1.7;0.4;4.9;0.8;3.2;9.3;79.2;1.7;330597;;;
Clarke County, Georgia;124707;48.1;51.9;27.5;10.0;63.3;28.0;0.1;4.2;0.0;2.5;10.8;55.2;28.0;94930;;;
Clay County, Florida;208311;48.9;51.1;40.4;15.0;80.1;10.2;0.0;2.8;0.2;2.2;9.6;73.7;8.9;154354;;;
Clay County, Missouri;239085;49.2;50.8;37.4;13.6;85.4;6.7;0.2;2.6;0.5;1.9;6.7;81.5;6.5;176021;;;
Clayton County, Georgia;279462;46.1;53.9;32.7;9.0;15.4;68.3;0.3;5.2;0.0;7.6;13.1;10.8;67.0;181607;;;
Clearfield County, Pennsylvania;80596;52.4;47.6;44.8;19.7;94.8;3.2;0.6;0.5;0.0;0.3;2.4;93.1;2.8;63811;;;
Clermont County, Ohio;203022;49.5;50.5;39.7;15.1;95.3;1.7;0.0;1.4;0.1;0.2;1.8;93.8;1.7;153926;;;
Cleveland County, North Carolina;97144;48.9;51.1;40.7;17.8;74.0;21.3;0.2;1.2;0.0;2.6;3.5;73.2;21.3;74906;;;
Cleveland County, Oklahoma;278655;50.2;49.8;34.0;12.6;78.6;4.4;4.2;4.6;0.1;1.1;8.4;72.4;4.4;208904;;;
Clinton County, Michigan;77888;49.2;50.8;40.1;16.3;94.0;1.7;0.3;2.0;0.0;0.2;4.5;90.1;1.6;58936;;;
Clinton County, New York;81073;51.2;48.8;39.2;16.3;90.2;4.8;0.1;1.2;0.0;2.2;2.9;89.4;4.3;65317;;;
Cobb County, Georgia;748150;48.3;51.7;36.5;11.4;58.7;27.0;0.4;5.3;0.1;4.9;12.9;52.4;26.2;502793;;;
Cochise County, Arizona;125770;50.4;49.6;40.8;21.1;87.4;4.0;1.5;2.2;0.3;1.5;35.0;55.5;3.8;91739;;;
Coconino County, Arizona;140908;50.0;50.0;30.9;11.8;64.7;1.5;26.3;1.9;0.1;1.9;13.8;54.5;1.4;109693;;;
Cole County, Missouri;76631;50.7;49.3;39.2;15.3;84.2;11.1;0.4;1.4;0.1;0.3;2.9;81.7;11.0;58343;;;
Collier County, Florida;365136;48.9;51.1;50.3;30.9;88.0;7.2;0.3;1.3;0.0;2.2;27.0;63.6;7.0;251090;;;
Collin County, Texas;939585;49.1;50.9;36.5;10.5;70.4;9.3;0.4;14.1;0.1;2.5;15.1;58.3;9.3;606908;;;
Columbia County, Florida;69299;52.1;47.9;41.2;18.2;76.3;19.6;0.1;0.8;0.1;1.9;6.0;72.9;19.2;52993;;;
Columbia County, Georgia;147450;48.8;51.2;36.2;12.6;73.5;16.9;0.6;4.3;0.0;1.0;6.6;69.5;16.6;103537;;;
Columbia County, Pennsylvania;66420;47.7;52.3;40.6;18.2;94.4;2.2;0.1;1.2;0.0;1.2;2.7;93.1;2.0;53830;;;
Columbiana County, Ohio;103685;50.8;49.2;44.2;19.1;94.5;2.7;0.2;0.0;0.0;1.1;1.6;94.1;2.7;81531;;;
Comal County, Texas;134788;49.5;50.5;42.6;18.0;89.4;2.3;0.1;1.1;0.1;5.5;26.9;68.5;2.3;100198;;;
Comanche County, Oklahoma;122136;52.2;47.8;33.3;11.6;62.5;18.6;5.4;2.2;0.2;2.3;12.7;56.4;17.0;89670;;;
Contra Costa County, California;1135127;48.9;51.1;39.5;15.0;58.0;8.6;0.3;16.2;0.4;9.2;25.4;44.3;8.2;751033;;;
Cook County, Illinois;5203499;48.6;51.4;36.5;13.6;56.1;23.5;0.3;7.1;0.0;10.3;25.3;42.3;23.3;3520005;;;
Coryell County, Texas;74686;50.6;49.4;31.7;9.8;72.1;10.6;1.3;2.2;0.7;1.1;18.0;59.1;10.3;55029;;;
Coweta County, Georgia;140526;48.6;51.4;39.0;12.6;75.5;17.9;0.1;1.2;0.1;2.4;6.8;71.3;17.7;101991;;;
Cowlitz County, Washington;105160;48.5;51.5;42.4;19.0;90.4;0.4;1.3;0.9;0.1;1.7;8.8;84.0;0.4;79956;;;
Craighead County, Arkansas;105835;49.6;50.4;34.5;13.7;79.5;14.4;0.0;1.3;0.0;2.3;4.9;76.7;14.4;77227;;;
Craven County, North Carolina;103445;51.1;48.9;37.4;18.4;69.2;19.9;0.8;3.1;0.0;2.9;7.1;65.9;19.4;78882;;;
Crawford County, Pennsylvania;86257;48.8;51.2;42.7;19.2;95.8;1.7;0.0;0.4;0.1;0.2;1.2;95.0;1.7;67377;;;
Creek County, Oklahoma;71312;49.5;50.5;40.0;17.2;79.8;1.9;11.6;0.3;0.1;0.4;4.0;76.6;1.9;53137;;;
Cullman County, Alabama;82471;49.3;50.7;40.4;18.3;95.8;1.3;0.8;0.9;0.0;0.7;4.3;92.3;1.3;63745;;;
Cumberland County, Maine;292041;48.4;51.6;42.2;17.2;92.0;2.9;0.3;2.1;0.0;0.2;2.0;90.6;2.8;229994;;;
Cumberland County, New Jersey;153797;51.2;48.8;36.8;14.6;67.4;18.7;1.3;1.5;0.0;6.7;30.2;46.8;17.7;107294;;;
Cumberland County, North Carolina;327127;49.1;50.9;32.0;11.5;49.8;38.1;1.5;2.3;0.2;2.3;11.3;43.7;36.5;236976;;;
Cumberland County, Pennsylvania;248506;49.5;50.5;40.2;17.6;87.8;4.1;0.1;4.4;0.0;1.7;3.7;86.5;3.9;191646;;;
Cuyahoga County, Ohio;1249352;47.7;52.3;40.2;17.2;62.5;29.4;0.2;2.8;0.0;1.7;5.7;59.2;29.1;953736;;;
Dakota County, Minnesota;417486;49.3;50.7;37.6;13.2;82.7;5.8;0.3;4.8;0.0;2.9;6.8;79.2;5.6;298815;;;
Dallas County, Iowa;84516;49.4;50.6;35.2;11.7;90.7;1.2;0.1;4.2;0.0;0.8;6.0;86.0;1.2;57458;;;
Dallas County, Texas;2574984;49.2;50.8;33.3;10.1;61.8;22.6;0.3;6.1;0.1;6.2;39.9;29.7;22.3;1477187;;;
