county,population_2008,popC_2008,young,middle,older,age_index,male,female,income,no_hs_diploma,hs_diploma,associates_degree,bachelors_degree,above_bachelors_degree,education_index,white,labor_force,employed,unemployed,unemployment_rate,vd_2006,vd_2008,vd_2010,vd_2012,vr_2006,vr_2008,vr_2010,vr_2012,registered_d_2016,registered_r_2016,registered_i_2016,casey_index,polls_2012,polls_2016,who_won_2008,votes_d_received,votes_r_received,who_won_2012,votes_d_received_2012,votes_r_received_2012,fips,X
Lafayette,0,"8,509.00",0.252,0.316,0.169,1.391,0.567,0.433,"44,180",0.193,0.818,0.082,0.076,0.032,2.539,0.774,"2,978","2,839",139,4.7,57%,N/A,11%,33.50%,41%,N/A,64.30%,63.68%,"2,658","1,445",55,0.475193,R,7,R,0.19,0.79,R,0.202,0.783,12067,NA
Lake,0.015,"292,154.00",0.145,0.313,0.315,1.716,0.485,0.515,"45,663",0.129,0.585,0.084,0.133,0.069,2.428,0.82,"136,844","127,816","9,028",6.6,56%,N/A,18.20%,47.70%,43%,N/A,59%,48.86%,"67,869","95,224","7,396",0.39819,R,-1,R,0.43,0.56,R,0.409,0.58,12069,NA
Lee,0.033,"608,210.00",0.161,0.314,0.31,1.719,0.491,0.509,"48,453",0.129,0.548,0.076,0.155,0.092,2.533,0.83,"286,092","262,214","23,878",8.3,53%,N/A,10.30%,45.30%,46%,N/A,52.70%,51.49%,"112,894","181,599","10,376",0.387217,R,5,R,0.44,0.55,R,0.413,0.578,12071,NA
Leon,0.015,"273,155.00",0.31,0.29,0.144,1.322,0.475,0.525,"45,915",0.083,0.399,0.083,0.251,0.184,3.054,0.63,"147,218","140,372","6,846",4.7,76%,N/A,24.50%,65.70%,23%,N/A,34.10%,32.32%,"105,527","55,304","4,448",0.592361,R,10,D,0.62,0.37,D,0.611,0.375,12073,NA
Levy,0.002,"40,500.00",0.146,0.341,0.273,1.647,0.499,0.506,"35,093",0.19,0.619,0.075,0.08,0.034,2.143,0.855,"16,891","15,666","1,225",7.3,56%,N/A,17.60%,43.50%,43%,N/A,59.40%,53.10%,"9,422","11,989","1,294",0.403445,R,-7,R,0.36,0.63,R,0.332,0.653,12075,NA
Liberty,0,"8,260.00",0.249,0.369,0.158,1.461,0.624,0.376,"35,940",0.261,0.585,0.037,0.076,0.042,2.056,0.773,"3,851","3,683",168,4.4,69%,N/A,13.70%,49.00%,30%,N/A,55.60%,47.54%,"3,420",715,25,0.635762,R,5,R,0.27,0.71,R,0.286,0.7,12077,NA
Madison,0.001,"19,300.00",0.208,0.33,0.226,1.546,0.526,0.474,"34,361",0.229,0.614,0.055,0.061,0.042,2.076,0.576,"7,034","6,530",504,7.2,68%,N/A,31.40%,55.90%,30%,N/A,43.70%,41.62%,"7,159","3,088",210,0.570727,R,-3,R,0.48,0.51,R,0.479,0.513,12079,NA
Manatee,0.017,"319,970.00",0.151,0.317,0.306,1.703,0.484,0.516,"47,910",0.12,0.524,0.085,0.161,0.099,2.562,0.819,"144,269","133,932","10,337",7.2,55%,N/A,13.40%,49.40%,43%,N/A,49.50%,47.26%,"69,161","98,216","5,578",0.420287,R,3,R,0.46,0.53,R,0.432,0.557,12081,NA
Marion,0.018,"328,356.00",0.147,0.304,0.334,1.757,0.48,0.52,"39,770",0.152,0.591,0.086,0.109,0.062,2.338,0.81,"138,375","127,220","11,155",8.1,56%,N/A,18.50%,48.70%,43%,N/A,55.80%,48.04%,"76,942","99,413","8,646",0.414953,R,-4,R,0.44,0.55,R,0.413,0.575,12083,NA
Martin,0.008,"144,911.00",0.131,0.327,0.349,1.832,0.494,0.506,"50,573",0.115,0.502,0.087,0.192,0.104,2.668,0.873,"63,675","59,125","4,550",7.1,56%,N/A,10.70%,44.30%,43%,N/A,58%,53.67%,"27,595","55,031","5,244",0.37426,R,8,R,0.43,0.56,R,0.381,0.61,12085,NA
Miami-Dade,0.132,"2,472,387.00",0.209,0.355,0.192,1.495,0.485,0.515,"43,464",0.219,0.434,0.084,0.166,0.097,2.488,0.738,"1,228,554","1,169,367","59,187",4.8,62%,N/A,29.80%,63.20%,36%,N/A,44.70%,35.36%,"559,157","366,119","18,750",0.515,R,29,D,0.58,0.42,D,0.616,0.379,12086,NA
Monroe,0.004,"74,094.00",0.175,0.399,0.259,1.75,0.534,0.466,"53,418",0.106,0.52,0.091,0.187,0.097,2.652,0.895,"46,650","44,710","1,940",4.2,61%,N/A,16.10%,52.30%,37%,N/A,42.70%,45.64%,"17,415","20,440","1,424",0.498363,R,2,D,0.52,0.47,D,0.496,0.491,12087,NA
Nassau,0.004,"71,081.00",0.156,0.372,0.233,1.599,0.491,0.509,"57,163",0.119,0.577,0.078,0.148,0.077,2.484,0.898,"36,276","34,261","2,015",5.6,54%,N/A,11.60%,33.80%,45%,N/A,68.10%,62.97%,"13,604","34,792","1,946",0.336086,R,7,R,0.28,0.71,R,0.252,0.737,12089,NA
Okaloosa,0.011,"181,880.00",0.22,0.337,0.194,1.476,0.503,0.497,"54,118",0.089,0.537,0.103,0.165,0.108,2.672,0.811,"96,861","92,269","4,592",4.7,61%,N/A,9.70%,29.40%,38%,N/A,71.30%,67.05%,"25,458","76,543","2,639",0.305099,R,17,R,0.27,0.72,R,0.246,0.738,12091,NA
Okeechobee,0.002,"40,013.00",0.181,0.334,0.216,1.497,0.528,0.472,"34,289",0.31,0.538,0.048,0.07,0.032,1.97,0.775,"17,662","16,183","1,479",8.4,64%,N/A,13.30%,50.00%,35%,N/A,54.80%,46.51%,"7,590","8,154",611,0.426417,R,-7,R,0.4,0.59,R,0.393,0.593,12093,NA
