county,population_2008,popC_2008,young,middle,older,age_index,male,female,income,no_hs_diploma,hs_diploma,associates_degree,bachelors_degree,above_bachelors_degree,education_index,white,labor_force,employed,unemployed,unemployment_rate,vd_2006,vd_2008,vd_2010,vd_2012,vr_2006,vr_2008,vr_2010,vr_2012,registered_d_2016,registered_r_2016,registered_i_2016,casey_index,likely_winner,X,who_won_2008,votes_d_received,votes_r_received,who_won_2012,votes_d_received_2012,votes_r_received_2012,fips
Philadelphia,0.123,NA,0.257,0.31,0.172,1.393,0.471,0.529,37016,0.601,0.277,0.054,0.068,NA,1.589,0.41,"630,620","586,024","44,596",7.1,84.11,N/A,84,86.40%,15.89,N/A,16,12.96%,"839,165","123,307","83,781",0.784263453,D,NA,D,0.83,0.163,D,0.852,0.14,42101
Pike,0.005,NA,0.129,0.379,0.233,1.586,0.5,0.5,58474,0.461,0.372,0.082,0.085,NA,1.791,0.886,"28,443","26,736","1,707",6,48.24,N/A,37,44.27%,51.76,N/A,63,53.76%,"13,925","17,722","4,654",0.449322473,D,NA,R,0.473,0.515,R,0.439,0.549,42103
Potter,0.001,NA,0.143,0.342,0.27,1.637,0.499,0.501,40970,0.495,0.381,0.07,0.054,NA,1.683,0.981,"7,784","7,228",556,7.1,36.16,N/A,26,27.70%,63.84,N/A,74,69.91%,"2,846","7,022",761,0.34532761,D,NA,R,0.305,0.677,R,0.261,0.719,42105
Schuylkill,0.012,NA,0.167,0.364,0.248,1.639,0.508,0.492,45441,0.561,0.363,0.041,0.035,NA,1.55,0.944,"74,496","69,866","4,630",6.2,54.25,N/A,41,42.87%,45.75,N/A,59,55.05%,"33,820","43,806","5,013",0.449735042,D,NA,R,0.445,0.531,R,0.423,0.556,42107
Snyder,0.003,NA,0.185,0.339,0.208,1.487,0.495,0.505,47059,0.573,0.313,0.05,0.064,NA,1.605,0.969,"19,821","18,615","1,206",6.1,36.66,N/A,28,31.27%,63.34,N/A,72,66.27%,"5,580","13,852","1,962",0.346051225,D,NA,R,0.346,0.636,R,0.311,0.669,42109
Somerset,0.006,NA,0.165,0.368,0.253,1.66,0.515,0.485,42424,0.587,0.329,0.041,0.043,NA,1.54,0.96,"39,439","36,942","2,497",6.3,51.21,N/A,33,32.15%,48.79,N/A,67,65.65%,"17,621","27,266","2,793",0.405226378,D,NA,R,0.364,0.613,R,0.277,0.704,42111
Sullivan,0,NA,0.134,0.357,0.311,1.781,0.51,0.49,38981,0.503,0.406,0.053,0.038,NA,1.626,0.959,"3,006","2,835",171,5.7,46.64,N/A,33,35.88%,53.36,N/A,67,61.65%,"1,526","2,418",248,0.417658836,D,NA,R,0.394,0.589,R,0.351,0.633,42113
Susquehanna,0.003,NA,0.144,0.364,0.256,1.64,0.503,0.497,46815,0.476,0.402,0.069,0.052,NA,1.695,0.98,"22,028","20,783","1,245",5.7,48.45,N/A,35,39.28%,51.55,N/A,65,58.60%,"8,039","15,002","1,779",0.382694128,D,NA,R,0.432,0.548,R,0.383,0.596,42115
Tioga,0.003,NA,0.172,0.336,0.245,1.579,0.491,0.509,42607,0.474,0.379,0.074,0.073,NA,1.746,0.973,"20,623","19,374","1,249",6.1,38.8,N/A,28,31.43%,61.2,N/A,72,66.25%,"7,191","15,915","2,494",0.361102711,D,NA,R,0.353,0.625,R,0.313,0.664,42117
Union,0.003,NA,0.218,0.347,0.2,1.512,0.549,0.451,46737,0.492,0.343,0.068,0.097,NA,1.77,0.877,"17,849","16,733","1,116",6.3,42.44,N/A,35,38.00%,57.56,N/A,65,59.71%,"7,619","12,902","2,671",0.404359444,D,NA,R,0.42,0.564,R,0.374,0.606,42119
Venango,0.004,NA,0.153,0.358,0.252,1.625,0.49,0.51,41814,0.49,0.393,0.062,0.055,NA,1.682,0.971,"26,447","24,947","1,500",5.7,48.46,N/A,36,35.54%,51.54,N/A,64,61.70%,"11,042","17,272","2,133",0.401859786,D,NA,R,0.393,0.584,R,0.357,0.621,42121
Warren,0.003,NA,0.148,0.366,0.257,1.651,0.498,0.502,43108,0.449,0.407,0.075,0.069,NA,1.764,0.981,"21,823","20,690","1,133",5.2,51.35,N/A,37,37.97%,48.65,N/A,63,59.19%,"10,511","15,137","1,996",0.419637399,D,NA,R,0.457,0.519,R,0.404,0.579,42123
Washington,0.016,NA,0.161,0.361,0.244,1.615,0.486,0.514,53326,0.514,0.358,0.065,0.063,NA,1.677,0.941,"106,420","100,875","5,545",5.2,59.42,N/A,46,46.92%,40.58,N/A,54,51.08%,"67,933","55,163","11,213",0.534482573,D,NA,R,0.468,0.515,R,0.425,0.56,42125
Wayne,0.004,NA,0.146,0.379,0.262,1.69,0.526,0.474,50153,0.527,0.358,0.066,0.049,NA,1.637,0.942,"25,742","24,400","1,342",5.2,46.48,N/A,34,40.86%,53.52,N/A,66,57.16%,"10,158","18,122","3,953",0.39735502,D,NA,R,0.431,0.554,R,0.387,0.595,42127
Westmoreland,0.029,NA,0.15,0.369,0.259,1.665,0.487,0.513,49734,0.479,0.387,0.063,0.07,NA,1.722,0.953,"189,007","179,023","9,984",5.3,53.51,N/A,39,41.41%,46.49,N/A,61,56.77%,"113,655","103,576","15,012",0.511218768,D,NA,R,0.41,0.576,R,0.376,0.613,42129
Wyoming,0.002,NA,0.164,0.356,0.235,1.581,0.5,0.5,48626,0.443,0.399,0.089,0.069,NA,1.784,0.974,"14,548","13,671",877,6,44.9,N/A,37,43.62%,55.1,N/A,63,53.73%,"5,334","9,571",925,0.403353333,D,NA,R,0.453,0.528,R,0.425,0.553,42131
York,0.034,NA,0.174,0.366,0.201,1.509,0.494,0.506,58747,0.552,0.318,0.062,0.069,NA,1.65,0.885,"229,230","218,459","10,771",4.7,44.91,N/A,32,39.82%,55.09,N/A,68,57.54%,"100,781","143,753","34,360",0.420597646,D,NA,R,0.424,0.56,R,0.385,0.596,42133
